Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Dead Presidents,"Action ,Crime ,Drama ,History",1995,"larenztate ,keithdavid ,christucker",alberthughes,6.6,80.0,9.87957,False,en,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s."
Restoration,"Drama ,Romance",1995,"robertdowneyjr. ,megryan ,samneill",michaelhoffman,6.3,30.0,10.979269,False,en,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
Mortal Kombat,"Action ,Fantasy",1995,"christopherlambert ,robinshou ,lindenashby",paulw.s.anderson,5.4,452.0,10.870138,False,en,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
To Die For,"Fantasy ,Drama ,Comedy ,Thriller",1995,"nicolekidman ,mattdillon ,joaquinphoenix",gusvansant,6.7,177.0,10.448481,False,en,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role."
How To Make An American Quilt,"Drama ,Romance",1995,"winonaryder ,annebancroft ,ellenburstyn",jocelynmoorhouse,6.5,38.0,4.485958,False,en,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
Se7en,"Crime ,Mystery ,Thriller",1995,"bradpitt ,morganfreeman ,gwynethpaltrow",davidfincher,8.1,5915.0,18.45743,False,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
Pocahontas,"Adventure ,Animation ,Drama ,Family",1995,"irenebedard ,melgibson ,davidogdenstiers",mikegabriel,6.7,1509.0,13.280069000000001,False,en,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith."
When Night Is Falling,"Drama ,Romance",1995,"pascalebussières ,rachaelcrawford ,henryczerny",patriciarozema,5.9,10.0,3.302524,False,en,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town."
The Usual Suspects,"Drama ,Crime ,Thriller",1995,"stephenbaldwin ,gabrielbyrne ,chazzpalminteri",bryansinger,8.1,3334.0,16.302466,False,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
Mighty Aphrodite,"Comedy ,Romance",1995,"woodyallen ,mirasorvino ,helenabonhamcarter",woodyallen,6.7,145.0,15.899134,False,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
Lamerica,"Drama ,Foreign",1994,"enricoloverso ,micheleplacido ,piromilkani",gianniamelio,7.7,11.0,1.361286,False,it,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand."
The Big Green,"Action ,Adventure ,Comedy ,Family",1995,"steveguttenberg ,oliviad'abo ,jayo.sanders",hollygoldbergsloan,5.2,41.0,5.9827639999999995,False,en,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
Georgia,Drama,1995,"jenniferjasonleigh ,marewinningham ,tedlevine",ulugrosbard,6.1,15.0,4.093443,False,en,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing."
Home for the Holidays,"Comedy ,Drama ,Romance",1995,"hollyhunter ,robertdowneyjr. ,annebancroft",jodiefoster,6.3,39.0,8.416802,False,en,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics."
The Postman,"Comedy ,Drama ,Romance",1994,"philippenoiret ,massimotroisi ,mariagraziacucinotta",michaelradford,7.6,181.0,10.168436999999999,False,it,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
The Confessional,"Thriller ,Drama ,Mystery",1995,"lothairebluteau ,patrickgoyette ,jean-louismillette",robertlepage,6.5,2.0,0.12078900000000001,False,fr,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies."
The Indian in the Cupboard,"Adventure ,Family ,Fantasy",1995,"halscardino ,litefoot ,lindsaycrouse",frankoz,5.9,136.0,10.673296,False,en,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
Eye for an Eye,"Drama ,Thriller",1996,"sallyfield ,kiefersutherland ,edharris",johnschlesinger,5.8,65.0,4.733526,False,en,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
Mr. Holland's Opus,"Music ,Drama ,Family",1995,"richarddreyfuss ,glenneheadly ,jaythomas",stephenherek,6.9,115.0,7.137117,False,en,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996,"shawnwayans ,marlonwayans ,traceycherellejones",parisbarclay,6.2,192.0,11.700115,False,en,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
Two If by Sea,"Comedy ,Romance",1996,"sandrabullock ,denisleary ,yaphetkotto",billbennett,4.5,14.0,2.174487,False,en,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
Bio-Dome,Comedy,1996,"paulyshore ,stephenbaldwin ,joeylaurenadams",jasonbloom,4.4,110.0,6.387469,False,en,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."
Lawnmower Man 2: Beyond Cyberspace,"Action ,Science Fiction",1996,"patrickbergin ,mattfrewer ,austino'brien",farhadmann,2.8,32.0,2.49535,False,en,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
French Twist,"Comedy ,Romance",1995,"victoriaabril ,josianebalasko ,alainchabat",josianebalasko,6.0,43.0,2.518051,False,fr,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
Friday,Comedy,1995,"icecube ,christucker ,nialong",f.garygray,7.0,513.0,14.56965,False,en,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
From Dusk Till Dawn,"Horror ,Action ,Thriller ,Crime",1996,"georgeclooney ,quentintarantino ,harveykeitel",robertrodriguez,6.9,1644.0,15.339153,False,en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
Fair Game,"Action ,Thriller ,Romance",1995,"williambaldwin ,cindycrawford ,stevenberkoff",andrewsipes,4.1,54.0,5.912223,False,en,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
Kicking and Screaming,"Comedy ,Drama ,Romance",1995,"joshhamilton ,oliviad'abo ,carlosjacott",noahbaumbach,7.0,36.0,3.3672760000000004,False,en,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
Les Miserables,"Drama ,History",1995,"jean-paulbelmondo ,michelboujenah ,alessandramartines",claudelelouch,6.6,8.0,1.4794459999999998,False,fr,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
Bed of Roses,"Drama ,Romance",1996,"christianslater ,marystuartmasterson ,pamelaadlon",michaelgoldenberg,5.1,27.0,10.412194,False,en,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
Screamers,"Horror ,Science Fiction",1995,"peterweller ,roydupuis ,jenniferrubin",christianduguay,6.1,154.0,12.758848,False,en,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
Nico Icon,Documentary,1995,"nico ,tinaaumont ,jacksonbrowne",susanneofteringer,7.3,3.0,0.133893,False,en,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
The Crossing Guard,"Drama ,Thriller",1995,"jacknicholson ,davidmorse ,anjelicahuston",seanpenn,6.1,74.0,5.756462,False,en,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other."
The Juror,"Drama ,Thriller",1996,"demimoore ,alecbaldwin ,josephgordon-levitt",briangibson,5.5,91.0,6.010579,False,en,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
The White Balloon,"Family ,Drama",1995,"aidamohammadkhani ,mohsenkafili ,fereshtehsadreorafaiy",jafarpanahi,7.5,20.0,1.196256,False,fa,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
Things to Do in Denver When You're Dead,"Drama ,Crime",1995,"andygarcía ,christopherlloyd ,williamforsythe",garyfleder,6.7,87.0,4.486179,False,en,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”
Antonia's Line,"Drama ,Comedy",1995,"willekevanammelrooy ,elsdottermans ,doravandergroen",marleengorris,7.2,26.0,2.030174,False,nl,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
